TreeID,sp,lichen,segment,apex_dist,fresh_mass,dry_mass,length_counted_lenticel,n_lenticels,lenticel_diam1,lenticel_diam2,lenticel_diam3,lenticel_diam4,lenticel_diam5,lenticel_diam6,lenticel_diam7,lenticel_diam8,lenticel_diam9,lenticel_diam10,exposed_length,total_length,basal_diam1,basal_diam2,basal_xylem_diam1,basal_xylem_diam2,basal_pith_diam1,basal_pith_diam2,distal_diam1,distal_diam2,distal_xylem_diam1,distal_xylem_diam2,distal_pith_diam1,distal_pith_diam2
9,TD,0.05,009D,60,1.7315,0.8686,31.14,6,1.45,1.24,1.73,1.13,1.83,1.05,1.78,1.38,0.79,1.17,63.26,72.6,5.57,5.34,4,4.72,0.83,0.57,5.35,5.65,4.84,4.28,0.94,0.64
9,TD,0.2,009A,86,3.1465,1.5351,30.69,10,0.99,0.73,1.35,1.24,1.02,0.89,1.3,1.19,1.17,1.29,43.7,60.56,8.82,8.63,7.11,7.03,1.84,2,7.63,7.69,6.44,6.48,1.67,1.75
9,TD,0.2,009B,61,2.5838,1.27,72.9,10,1.5,1.89,1.63,2.29,0.7,0.6,1,0.77,0.84,1.09,46.61,72.9,7.94,7.19,6.6,6.02,1.02,0.52,6.99,6.28,6.78,5.06,0.53,0.64
6,MG,0,006A,52,2.8853,1.5558,28.24,15,0.76,1.32,1.01,1.3,1.23,1.37,1.26,0.82,0.9,0.94,61.47,79.11,7.44,7.39,6.46,6.11,3.78,2.62,7.24,6.87,5.94,5.91,2.7,3.29
6,MG,0,006B,54,2.6445,1.4346,30.76,19,0.74,0.79,0.72,0.61,0.88,0.94,1.08,1.05,0.8,0.85,56.11,72.61,7.75,7.05,5.77,6.1,2.28,3.14,7.56,6.93,5.85,6.04,2.53,3.26
6,MG,0,006C,40,3.4425,1.8523,41.29,26,1.03,0.97,1.38,0.9,1.2,1.25,1.8,1.18,0.93,1.27,57.25,71.93,8.04,8.38,6.9,6.78,2.2,3.73,8.47,8.1,6.85,7.3,2.81,3.46
6,MG,0,006D,37,4.3183,2.3516,28.44,20,1.12,1.24,1.04,1.13,1.22,1.62,1.14,0.76,1.19,0.94,57.55,71.18,9.54,9.11,7.91,7.96,3.39,2.57,9.15,8.92,7.7,7.38,3.57,3.68
6,MG,0,006E,51,3.1762,1.7417,42.26,29,1.17,1.21,0.9,1.02,1.23,1.52,1.08,0.82,1.16,1.14,66.66,81.69,7.49,7.36,6.37,6.08,3.16,3.49,6.96,7.17,5.77,5.75,2.65,2.65
10,TD,0.15,010A,67,2.1287,1.1744,35.8,13,1.59,0.93,2.19,1.04,1.23,1.4,1.34,0.91,0.77,1.07,56.12,72.45,6.86,6.62,5.94,5.4,0.61,0.69,6.51,6.57,5.15,5.42,1.12,1.16
10,TD,0.1,010B,44,1.746,0.7812,29.54,5,1.26,1.05,0.81,1.54,1.34,1.13,1.81,1.98,1.31,1.39,34.66,55.49,6.33,6.81,6.07,5.23,0.8,0.78,6.51,6.09,4.9,5.36,0.42,0.55
10,TD,0.08,010C,58,1.4469,0.75,54.13,11,2.41,1.68,1.63,1.58,1.81,1.38,1.02,1.58,1.24,1.62,36.96,54.13,6.43,6.64,5.17,5.21,1.46,1.85,6.25,6.27,5.48,5.36,1.27,1.28
10,TD,0.3,010D,67,1.8139,0.9762,63.81,1,2.07,,,,,,,,,,38.51,63.81,7.35,6.55,6.29,5.45,1.06,0.85,6.76,5.84,5.45,4.56,0.68,0.61
10,TD,0.1,010E,66,1.5456,0.7744,46.51,3,1.35,1.88,2.07,,,,,,,,33.96,46.51,6.89,6.7,5.97,5.65,1.11,0.84,6.25,6.77,5.07,5.35,0.77,0.69
15,CC,0.2,015A,105,4.6441,2.929,,,,,,,,,,,,,70.9,94.1,8.07,8.53,7.18,7.53,1.42,1.19,7.56,7.73,7.49,6.29,1.29,1.06
15,CC,0.5,015B,86,3.8981,2.3239,,,,,,,,,,,,,48.49,80.87,7.93,8.61,7.06,6.13,0.92,1.16,7.75,7.75,6.35,7.03,0.56,0.68
15,CC,0.35,015C,103,4.6342,2.8172,,,,,,,,,,,,,44.41,58.9,10.29,10.42,8.16,8.44,1.4,1.53,10.79,10.08,8.87,9.47,1.12,1.33
15,CC,0.1,015D,63,3.3277,2.1174,,,,,,,,,,,,,55.5,71.98,7.36,7.18,6.73,6.27,1.46,1.31,7.16,7.11,5.76,5.72,0.95,0.88
15,CC,0.3,015E,106,4.1566,2.5324,,,,,,,,,,,,,46.21,64.52,9.27,8.73,7.32,8.19,0.83,0.97,9.41,8.97,7.94,7.48,1.36,0.97
18,PE,0,018A,70,5.0871,2.6189,,,,,,,,,,,,,66.78,84.69,8.03,8.88,6.92,6.93,1.64,1.74,7.77,8.06,6.58,5.72,1.26,1.15
18,PE,0,018B,66,5.1429,2.5407,,,,,,,,,,,,,76.13,91.52,8.62,8.39,7.11,6.95,1.42,1.44,7.68,7.78,6.29,6.4,1.03,1.33
18,PE,0,018C,44,5.9542,3.0814,,,,,,,,,,,,,74.01,90.14,8.73,8.26,6.12,6.29,1.75,1.93,8.61,8.38,6.83,7.03,1.94,2.21
18,PE,0,018D,54,6.3888,3.0948,,,,,,,,,,,,,63.26,82.34,10.15,8.95,7.58,7.52,1.22,1.19,9.87,9.03,6.82,7.94,1.2,1.36
18,PE,0,018E,59,6.4218,3.1791,,,,,,,,,,,,,80.42,99.48,8.65,8.63,7.04,7.04,1.31,1.27,8.25,8.29,6.74,7.09,1.13,1.14
22,LS,0,022A,51,2.0467,1.0357,19.38,14,1.18,0.96,1.3,1.14,1.19,1.1,0.82,1.12,1.28,1.37,31.23,43.55,8.24,8.12,6.97,6.92,2.29,2.09,8.35,8.32,7.03,6.91,2.33,1.92
22,LS,0,022B,76,2.6208,1.3706,26.93,21,1.02,1.18,1.03,1.02,1.12,1.41,1.13,1.07,1,1.24,42.66,55.08,8.04,7.97,6.92,6.85,1.68,1.51,8.04,7.9,6.71,6.83,1.42,1.23
22,LS,0,022C,46,1.7039,0.8592,25.83,33,0.75,0.65,0.88,0.82,0.85,0.75,0.39,0.54,0.96,0.37,43.87,59.51,6.34,6.16,5.69,5.26,0.84,1.01,5.84,5.74,5,4.94,1.17,0.77
22,LS,0,022D,47,1.9841,1.0133,33.38,17,1.01,0.92,0.65,0.76,0.65,0.72,0.45,1.24,0.56,0.9,51.04,69.09,7.33,6.99,5.88,5.28,1.77,1.16,6.04,5.91,4.6,5.1,1.19,0.83
22,LS,0,022E,57,1.6246,0.8482,32.01,19,0.64,0.51,1.01,0.59,0.72,0.66,1.06,0.58,0.96,0.95,51.49,68.42,6,6.25,4.99,5.04,2.94,2.8,5.55,5.35,4.4,4.37,0.97,1.04
3,CC,0.85,003A,150,3.8688,2.3785,,,,,,,,,,,,,50.19,66.63,8.45,9.34,7.15,8.34,1.05,0.75,8.03,9.44,7.71,6.75,0.79,0.73
3,CC,0,003B,145,5.1054,3.0339,,,,,,,,,,,,,57.2,69.08,10.4,11.18,9.66,9.45,1.42,1.29,9.75,8.66,8.88,7.74,0.97,0.77
3,CC,0.25,003C,125,7.3053,4.4703,,,,,,,,,,,,,75.46,93.71,11.38,10.81,9.27,10.11,1.89,2.28,9.87,10.47,8.35,8.47,1.49,1.94
3,CC,0,003D,115,2.4959,1.3864,,,,,,,,,,,,,44.15,58.69,7.56,8.26,5.9,6.89,1.69,1.95,7,7.33,6.25,5.95,0.87,1.01
3,CC,0.8,003E,131,3.1561,1.87,,,,,,,,,,,,,51.9,62.42,7.65,8.17,7.22,6.61,0.7,0.85,8.2,7.7,7.2,7.01,0.68,0.58
5,MG,0.01,005E,56,4.9562,2.6314,34.32,15,0.92,0.63,0.75,0.53,1.04,0.78,0.77,0.86,0.9,0.75,57.24,72.18,10.03,9.34,8.5,8.54,3.48,4.15,9.78,9.75,7.81,7.86,4.26,3.43
5,MG,0.05,005A,92,4.6885,2.612,34.79,20,0.77,1.12,0.94,0.97,0.92,0.76,0.76,0.94,0.95,1.32,59.27,71.74,9.31,9.54,7.46,7.85,2.86,3.62,9.9,9.39,7.69,8.03,3.29,2.84
5,MG,0,005B,82,2.7421,1.4778,30.86,10,0.81,0.99,0.76,1.01,0.96,0.89,1.11,0.79,1.08,0.69,56.14,69.95,7.83,7.65,6.66,6.48,1.22,2.59,7.82,7.39,6.05,6.15,2.85,3.54
5,MG,0,005C,57,3.2831,1.809,36.15,11,0.79,0.9,0.83,0.72,0.64,0.86,0.45,0.9,0.62,1.11,68.7,84.88,7.5,7.44,6.17,5.34,2.6,2.71,7.47,7.44,6.01,6.03,3.09,2.48
5,MG,0,005D,56,6.0984,3.1461,40.56,23,1,1.25,0.78,1.26,0.89,0.74,0.98,0.95,0.8,1.34,82.46,93.87,9.52,10.12,7.66,7.58,3.98,3.99,9.56,9.19,7.99,7.42,4.14,3.92
12,TD,0.15,012A,70,2.2364,1.0873,48.32,6,0.83,1.05,0.99,1.41,1.38,1.36,,,,,34.41,48.32,8.3,7.9,6.51,6.22,1.19,1.21,7.89,7.5,6.22,6.61,0.75,1.02
12,TD,0,012B,75,4.7092,2.1133,72.02,8,0.84,2.08,1.05,0.88,0.99,1.2,1.34,0.97,,,48.28,72.02,9.39,9.92,7.94,8.41,0.82,0.82,8.94,8.54,7.16,7.64,1.21,1.23
12,TD,0,012C,69,4.4369,2.0265,73.66,6,1.16,0.85,0.68,0.73,0.65,1.05,,,,,62.21,73.66,9.36,9.6,7.89,7.93,1.69,1.54,8.68,8.56,7.41,7.45,1.04,1.22
12,TD,0,012D,49,1.8119,0.8237,,,,,,,,,,,,,31.19,49.94,7.05,7.36,6.15,6.17,0.63,0.48,7.15,7.29,6.2,6.02,1.23,1
12,TD,0.02,012E,60,3.6941,1.4312,52.2,5,1.1,1.89,1.25,0.79,1.18,,,,,,28.7,52.2,9.94,10.04,8.61,8.41,0.77,0.71,9.81,9.9,7.63,8.28,1.2,1.45
