segment,TreeID,sp,lichen,apex_dist,treatment,sampleID,lenticel_size,LD,gbark,bark_thickness_ratio,diam,Round,Tc,mf,vpd,E,bark_thickness,water_content,RWC_end,LossFrac_end,RWC_end_sat
020A,20,PE,0,69,10C,020A,NA,NA,4.774861847,0.093361801,6.44,5,10.17942412,0.991949231,0.856784377,0.040713033,0.60125,0.001948739,0.987945724,0.012054276,0.887198602
020B,20,PE,0.15,72,25C,020B,NA,NA,7.647799703,0.097618188,6.9275,5,25.090456,0.97528144,1.372234363,0.10622467,0.67625,0.002009659,0.955250523,0.044749477,0.880861312
020C,20,PE,0,80,35C,020C,NA,NA,3.682628214,0.112837838,7.4,5,33.33573874,0.965910728,3.388780874,0.127542501,0.835,0.001794524,0.949388209,0.050611791,0.772823476
020D,20,PE,0,74,45C,020D,NA,NA,7.305570119,0.105147059,6.8,5,40.079437,0.954312726,5.594368272,0.422770821,0.715,0.002003129,0.848421619,0.151578381,0.86618169
020E,20,PE,0,78,55C,020E,NA,NA,5.926410228,0.088570379,6.8025,5,55.39943,0.911020241,14.10336213,0.905684418,0.6025,0.002196866,0.790593505,0.209406495,0.876953709
021A,21,LS,0,55,10C,021A,1.237,0.067628099,6.139993501,0.093541848,8.6325,2,11.27872628,0.990839892,0.821317708,0.050241913,0.8075,0.001548653,0.982920252,0.017079748,0.709548955
021B,21,LS,0,61,25C,021B,1.342,0.037000391,9.991882696,0.074703121,9.0525,2,23.74197917,0.976586592,1.136501911,0.114788213,0.67625,0.001501286,0.95727231,0.04272769,0.642228152
021C,21,LS,0,43,35C,021C,1.292,0.070477301,7.404129769,0.080635754,8.5725,2,33.79845667,0.96498075,3.438137959,0.260416937,0.69125,0.001544475,0.914610866,0.085389134,0.632060929
021D,21,LS,0,46,45C,021D,1.366,0.147591936,5.76686418,0.096211366,7.5225,2,41.04978415,0.952154433,5.999340671,0.358695896,0.72375,0.001844457,0.869267264,0.130732736,0.806533237
021E,21,LS,0,62,55C,021E,1.442,0.053414187,6.164243268,0.068187884,9.3675,2,54.67952567,0.912972711,13.69290633,0.91265821,0.63875,0.001542613,0.712281189,0.287718811,0.516547596
022A,22,LS,0,51,10C,022A,1.146,0.087483405,8.598642246,0.078716318,8.2575,3,10.85762428,0.991536991,0.888053454,0.076023983,0.65,0.001361839,0.967457962,0.032542038,0.589292635
022B,22,LS,0,76,25C,022B,1.122,0.097627478,9.615403147,0.072613459,7.9875,3,24.5395697,0.975681764,1.241599204,0.120790086,0.58,0.001423062,0.944728843,0.055271157,0.631610357
022C,22,LS,0,46,35C,022C,0.696,0.21222329,4.902956464,0.066237542,6.02,3,32.75991131,0.966321046,3.12398044,0.156471577,0.39875,0.001566677,0.920445128,0.079554872,0.683971204
022D,22,LS,0,47,45C,022D,0.786,0.077546555,3.316129616,0.102969166,6.5675,3,40.80015464,0.952727022,5.835006534,0.200491015,0.67625,0.00130309,0.891223733,0.108776267,0.512302961
022E,22,LS,0,57,55C,022E,0.768,0.102559743,5.929464604,0.093952484,5.7875,3,55.12986677,0.911934531,13.8774322,0.890741095,0.54375,0.001355128,0.577279753,0.422720247,0.358219438
023A,23,MG,0,53,10C,023A,1.245,0.045524083,4.207552063,0.0790938,9.435,1,10.67001341,0.991360289,0.823550888,0.034504757,0.74625,0.001336421,0.990015917,0.009984083,0.597420266
023B,23,MG,0.02,46,25C,023B,1.227,0.070762076,8.465222949,0.08698922,9.9725,1,23.89764188,0.976972112,1.270172084,0.108644902,0.8675,0.001284139,0.950744709,0.049255291,0.548879283
023C,23,MG,0,48.5,35C,023C,1.272,0.084287022,3.332501247,0.083432658,8.39,1,32.18482983,0.967783172,3.092059164,0.105106749,0.7,0.001392918,0.947795998,0.052204002,0.62149321
023D,23,MG,0,49,45C,023D,1.406,0.065283526,2.781994813,0.081989581,10.0775,1,40.31897309,0.954244605,5.783468233,0.166446824,0.82625,0.00131715,0.935099138,0.064900862,0.549907398
023E,23,MG,0,46,55C,023E,1.269,0.050252874,2.816767193,0.084702397,9.2825,1,55.11831039,0.912856258,14.04619295,0.427856113,0.78625,0.001355201,0.868840994,0.131159006,0.52974944
024A,24,LS,0.55,47,10C,024A,1.362,0.087295075,7.265968735,0.009146341,6.56,1,10.98738793,0.991088491,0.821526677,0.059455675,0.06,0.001516867,0.976371844,0.023628156,0.66664625
024B,24,LS,0.75,75,25C,024B,0.833,0.080451656,6.75384042,0.07306968,6.6375,1,23.93427813,0.976968709,1.282618006,0.087530222,0.485,0.001671071,0.961675335,0.038324665,0.734691623
024C,24,LS,0.7,55,35C,024C,1.032,0.066425818,3.822030407,0.097975946,8.5225,1,32.20098097,0.967802899,3.104854629,0.121042823,0.835,0.00160852,0.963299773,0.036700227,0.705541359
024D,24,LS,0.5,72,45C,024D,0.665,0.077542759,4.121555424,0.083773319,7.1025,1,40.12709944,0.954687143,5.723665987,0.243929827,0.595,0.001551661,0.922979084,0.077020916,0.649649094
024E,24,LS,0.3,55,55C,024E,1.057,0.108018896,6.268486853,0.077769626,6.815,1,55.11904737,0.912856125,14.04728682,0.952233355,0.53,0.001732156,0.756862461,0.243137539,0.615833345
025A,25,LS,0,68,10C,025A,1.088,0.100480921,5.043894222,0.090137068,8.39,4,10.51400492,0.991545349,0.837169726,0.042039492,0.75625,0.001395047,0.990198109,0.009801891,0.634527015
025B,25,LS,0,53,25C,025B,1.281,0.080876341,6.652886889,0.091570649,8.245,4,23.26503125,0.977370439,1.129317961,0.075885313,0.755,0.00133068,0.963984836,0.036015164,0.575290205
025C,25,LS,0.3,60,35C,025C,1.092,0.115617037,3.329682994,0.08225758,8.3275,4,32.72834848,0.966919521,3.233407564,0.10991667,0.685,0.001469281,0.971308307,0.028691693,0.649335937
025D,25,LS,0.4,81,45C,025D,1.191,0.065256662,2.297704187,0.116648107,8.98,4,42.07683158,0.950386383,6.506484155,0.155285477,1.0475,0.001379094,0.958553434,0.041446566,0.608918559
025E,25,LS,0,58,55C,025E,1.142,0.076543168,3.448124347,0.097629239,7.5925,4,55.23140667,0.911985539,14.0419495,0.524098514,0.74125,0.001530035,0.853024042,0.146975958,0.613029293
